,SMILES,NFAs name ,HOMO,LUMO,Eg,Jsc,Voc,FF,PCE,reference
0,CCCCCCC(CCCC)CC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CC(CCCC)CCCCCC,L8-BO,-5.68,-3.9,,25.72,0.87,0.815,18.32,"C. Li, J. Zhou, J. Song, J. Xu, H. Zhang, X. Zhang, J. Guo, L. Zhu, D. Wei, G. Han, J. Min, Y. Zhang, Z. Xie, Y. Yi, H. Yan, F. Gao, F. Liu, Y. Sun, Non-fullerene acceptors with branched side chains and improved molecular packing to exceed 18% efficiency in organic solar cells, Nat. Energy. 6 (2021) 605–613. https://doi.org/10.1038/s41560-021-00820-x."
1,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=CC(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,EH-HD-4F,-5.69,-4.04,1.39,27.5,0.84,0.793,18.3,"S. Chen, L. Feng, T. Jia, J. Jing, Z. Hu, K. Zhang, F. Huang, High-performance polymer solar cells with efficiency over 18% enabled by asymmetric side chain engineering of non-fullerene acceptors, Sci. China Chem. 64 (2021) 1192–1199. https://doi.org/10.1007/s11426-021-1013-0."
2,CCCCC(CC)CC1=CC=CC(C2=C(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)SC3=C2SC2=C3N(CC(CC)CCCC)C3=C2C2=NSN=C2C2=C3N(CC(CC)CCCC)C3=C2SC2=C3SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2C2=CC=CC(CC(CC)CCCC)=C2)=C1,BTP-4F-P2EH,-5.65,-3.87,1.41,25.85,0.88,0.8008,17.96,"J. Zhang, F. Bai, I. Angunawela, X. Xu, S. Luo, C. Li, G. Chai, H. Yu, Y. Chen, H. Hu, Z. Ma, H. Ade, H. Yan, Alkyl-Chain Branching of Non-Fullerene Acceptors Flanking Conjugated Side Groups toward Highly Efficient Organic Solar Cells, Adv. Energy Mater. 11 (2021) 2102596. https://doi.org/10.1002/aenm.202102596."
3,CCCCCCCCC(CCCCCC)CN1C2=C(SC3=C2SC(/C=C2C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)=C3CCCCC)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CCCCC)=C(/C=C2CC4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S3)N1CC(CCCCCC)CCCCCCCC,BTP-4F-C5-16,-5.73,-3.93,,27.36,0.841,0.7754,17.84,"L. Wang, C. Guo, X. Zhang, S. Cheng, D. Li, J. Cai, C. Chen, Y. Fu, J. Zhou, H. Qin, D. Liu, T. Wang, Alkyl Chain Tuning of Non-fullerene Electron Acceptors toward 18.2% Efficiency Binary Organic Solar Cells, Chem. Mater. 33 (2021) 8854–8862. https://doi.org/10.1021/acs.chemmater.1c03104."
4,CCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCC,BTP-eC9,,,,26.2,0.829,0.735,17.8,"Y. Cui, H. Yao, J. Zhang, K. Xian, T. Zhang, L. Hong, Y. Wang, Y. Xu, K. Ma, C. An, C. He, Z. Wei, F. Gao, J. Hou, Single-Junction Organic Photovoltaic Cells with Approaching 18% Efficiency, Adv. Mater. 32 (2020) 1908205. https://doi.org/10.1002/adma.201908205."
5,CCCCCCC1=CC=CC(C2=C(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)SC3=C2SC2=C3N(CC(CC)CCCC)C3=C2C2=NSN=C2C2=C3N(CC(CC)CCCC)C3=C2SC2=C3SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2C2=CC(CCCCCC)=CC=C2)=C1,m-BTP-PhC6,-5.59,-3.86,1.35,25.3,0.883,0.793,17.7,"G. Chai, Y. Chang, J. Zhang, X. Xu, L. Yu, X. Zou, X. Li, Y. Chen, S. Luo, B. Liu, F. Bai, Z. Luo, H. Yu, J. Liang, T. Liu, K.S. Wong, H. Zhou, Q. Peng, H. Yan, Fine-tuning of side-chain orientations on nonfullerene acceptors enables organic solar cells with 17.7% efficiency, Energy Environ. Sci. 14 (2021) 3469–3479. https://doi.org/10.1039/D0EE03506H."
6,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(Cl)C=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C4C=C(Cl)SC4=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,BTP-T-3Cl,-5.56,-3.99,1.37,26.02,0.893,0.7579,17.61,"Y. Pan, X. Zheng, J. Guo, Z. Chen, S. Li, C. He, S. Ye, X. Xia, S. Wang, X. Lu, H. Zhu, J. Min, L. Zuo, M. Shi, H. Chen, A New End Group on Nonfullerene Acceptors Endows Efficient Organic Solar Cells with Low Energy Losses, Adv. Funct. Mater. 32 (2022) 2108614. https://doi.org/10.1002/adfm.202108614."
7,CCCCCCCCCCCC1=C(C=C2C(=O)C3=C(Br)SC(Br)=C3C2=O)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(C=C2C(=O)C3=C(Br)SC(Br)=C3C2=O)=C1CCCCCCCCCCC,BTIC-EH-2ThBr,-5.47,-3.69,1.53,26.39,0.853,0.779,17.54,"C. Cao, H. Lai, H. Chen, Y. Zhu, M. Pu, N. Zheng, F. He, Over 17.5% efficiency ternary organic solar cells with enhanced photon utilization via a medium band gap non-fullerene acceptor, J. Mater. Chem. A. 9 (2021) 16418–16426. https://doi.org/10.1039/D1TA04454K."
8,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(F)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC.F,"Y-BO-FCl,",-5.74,-4.03,1.33,26.45,0.85,0.7792,17.52,"L. Wang, Q. An, L. Yan, H.-R. Bai, M. Jiang, A. Mahmood, C. Yang, H. Zhi, J.-L. Wang, Non-fullerene acceptors with hetero-dihalogenated terminals induce significant difference in single crystallography and enable binary organic solar cells with 17.5% efficiency, Energy Environ. Sci. 15 (2022) 320–333. https://doi.org/10.1039/D1EE01832A."
9,CCCCCCCCC(CCCCCC)CC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CC(CCCCCC)CCCCCCCC,L8-HD,-5.71,-3.9,,25.08,0.88,0.788,17.39,"C. Li, J. Zhou, J. Song, J. Xu, H. Zhang, X. Zhang, J. Guo, L. Zhu, D. Wei, G. Han, J. Min, Y. Zhang, Z. Xie, Y. Yi, H. Yan, F. Gao, F. Liu, Y. Sun, Non-fullerene acceptors with branched side chains and improved molecular packing to exceed 18% efficiency in organic solar cells, Nat. Energy. 6 (2021) 605–613. https://doi.org/10.1038/s41560-021-00820-x."
